observation_date,IXIC,IXIC_LAG1,IXIC_LAG5,IXIC_SMA5,IXIC_SMA10,SP500,DJIA,VIXCLS,DGS10,DCOILWTICO,CBBTCUSD
2024-01-29,15628.04,15455.36,15360.29,15500.351999999999,15302.864000000001,4927.93,38333.45,13.6,4.08,77.25,43272.35
2024-01-30,15509.9,15628.04,15425.94,15517.144,15359.419,4924.97,38467.31,13.31,4.06,78.3,42985.96
2024-01-31,15164.01,15509.9,15481.92,15453.562,15390.258000000002,4845.65,38150.3,14.35,3.99,76.28,42599.49
2024-02-01,15361.64,15164.01,15510.5,15423.789999999999,15420.857,4906.19,38519.84,13.88,3.87,74.36,43090.14
2024-02-02,15628.95,15361.64,15455.36,15458.507999999998,15452.655000000002,4958.61,38654.42,13.85,4.03,72.72,43187.41
2024-02-05,15597.68,15628.95,15628.04,15452.435999999998,15476.394,4942.81,38380.12,13.67,4.17,73.21,42654.6
2024-02-06,15609.0,15597.68,15509.9,15472.256,15494.7,4954.23,38521.36,13.06,4.09,73.83,43093.37
2024-02-07,15756.64,15609.0,15164.01,15590.782000000001,15522.172,4995.06,38677.36,12.83,4.09,74.26,44393.14
2024-02-08,15793.71,15756.64,15361.64,15677.196,15550.493000000002,4997.91,38726.33,12.79,4.15,76.67,45345.8
2024-02-09,15990.66,15793.71,15628.95,15749.538,15604.023000000001,5026.61,38671.69,12.93,4.17,77.26,47154.45
2024-02-12,15942.55,15990.66,15597.68,15818.511999999999,15635.473999999998,5021.84,38797.38,13.93,4.17,77.34,49961.0
2024-02-13,15655.6,15942.55,15609.0,15827.832,15650.044,4953.17,38272.75,15.85,4.31,78.28,49691.47
2024-02-14,15859.15,15655.6,15756.64,15848.333999999999,15719.557999999999,5000.62,38424.27,14.38,4.27,77.09,51833.46
2024-02-15,15906.17,15859.15,15793.71,15870.826000000001,15774.010999999999,5029.73,38773.12,14.01,4.24,78.47,51935.86
2024-02-16,15775.65,15906.17,15990.66,15827.823999999999,15788.681,5005.57,38627.99,14.24,4.3,79.65,52181.12
2024-03-04,16207.51,16274.94,15976.25,16111.482,15978.375,5130.95,38989.83,13.49,4.22,79.67,68277.61
2024-03-05,15939.59,16207.51,16035.3,16092.34,16009.256,5078.65,38585.19,14.46,4.13,79.11,63893.71
2024-03-06,16031.54,15939.59,15947.74,16109.1,16054.323,5104.76,38661.05,14.5,4.11,80.08,66092.71
2024-03-07,16273.38,16031.54,16091.92,16145.392000000002,16077.499,5157.36,38791.35,14.44,4.09,79.81,66914.79
2024-03-08,16085.11,16273.38,16274.94,16107.426000000001,16086.328,5123.69,38722.69,14.74,4.09,78.96,68313.7
2024-03-11,16019.27,16085.11,16207.51,16069.778,16090.630000000001,5117.94,38769.66,15.22,4.1,78.87,72202.19
2024-03-12,16265.64,16019.27,15939.59,16134.988000000001,16113.663999999999,5175.27,39005.49,13.84,4.16,78.51,71471.62
2024-03-13,16177.77,16265.64,16031.54,16164.234,16136.667000000001,5165.31,39043.32,13.75,4.19,80.67,73098.48
2024-03-14,16128.53,16177.77,16273.38,16135.264000000001,16140.328,5150.48,38905.66,14.4,4.29,82.16,71456.55
2024-03-15,15973.17,16128.53,16085.11,16112.876,16110.150999999998,5117.09,38714.77,14.41,4.31,81.94,69492.42
2024-03-18,16103.45,15973.17,16019.27,16129.712,16099.745,5149.42,38790.43,14.33,4.34,83.68,67566.95
